Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Bachelors,2017.0,Bangalore,3.0,34.0,Male,No,0.0,0.0
Bachelors,2013.0,Pune,1.0,28.0,Female,,,1.0
BACHELORS,2014.0,New Delhi,3.0,38.0,FEMALE,No,2.0,0.0
Masters,2016.0,Bangalore,3.0,27.0,Male,No,5.0,1.0
masters,error,Pune,3.0,24.0,Male,Yes,2.0,1.0
Bachelors,,Bangalore,3.0,22.0,Male,No,0.0,0.0
Bachelors,2015.0,New Delhi,3.0,38.0,Male,No,0.0,0.0
Bachelors,2016.0,Bangalore,3.0,34.0,Female,No,2.0,1.0
Bachelors,,Pune,,23.0,,No,1.0,0.0
Masters,2017.0,New Delhi,2.0,37.0,Male,No,2.0,0.0
Masters,2012.0,Bangalore,3.0,27.0,MALE,No,5.0,1.0
Bachelors,2016.0,Pune,3.0,140.47735463165102,,No,3.0,0.0
Bachelors,2018.0,Pune,3.0,32.0,MALE,,5.0,1.0
Bachelors,2016.0,Bangalore,3.0,39.0,Male,No,2.0,0.0
Bachelors,2012.0,Bangalore,3.0,37.0,Male,No,4.0,0.0
Bachelors,2017.0,Bangalore,1.0,29.0,Male,No,3.0,0.0
Bachelors,2014.0,Bangalore,3.0,34.0,Female,No,2.0,22.207526878212015
Bachelors,2014.0,Pune,3.0,34.0,Male,No,4.0,0.0
Bachelors,2015.0,pune,2.0,30.0,Female,No,0.0,
Bachelors,2016.0,New Delhi,2.0,22.0,Female,No,0.0,1.0
Bachelors,2012.0,Bangalore,3.0,37.0,male,No,0.0,0.0
Masters,2017.0,New Delhi,2.0,28.0,Male,NO,4.0,0.0
Bachelors,,New Delhi,2.0,36.0,Male,No,3.0,0.0
Bachelors,2015.0,Bangalore,3.0,27.0,Male,Yes,5.0,0.0
Bachelors,2017.0,Bangalore,3.0,29.0,Male,NO,4.0,0.0
BACHELORS,2013.0,Bangalore,3.0,22.0,Female,Yes,73.1163750232798,0.0
Bachelors,2016.0,Bangalore,3.0,37.0,Male,No,2.0,0.0
Bachelors,2015.0,Bangalore,3.0,23.0,Male,No,1.0,0.0
Bachelors,2013.0,Pune,2.0,31.0,Female,No,2.0,1.0
Masters,2017.0,New Delhi,2.0,30.0,Female,No,2.0,
PHD,2013.0,New Delhi,3.0,25.0,Male,No,3.0,0.0
Bachelors,2014.0,Bangalore,3.0,,Male,No,1.0,22.207526878212015
Bachelors,2018.0,Bangalore,3.0,26.0,Male,No,4.0,1.0
Bachelors,2016.0,Bangalore,3.0,40.0,Male,No,5.0,0.0
Bachelors,2017.0,Pune,2.0,37.0,Female,No,0.0,1.0
Bachelors,2014.0,Bangalore,1.0,30.0,Female,No,3.0,0.0
Bachelors,2012.0,New Delhi,3.0,29.0,Male,No,3.0,0.0
Bachelors,2018.0,New Delhi,2.0,34.0,Female,No,0.0,1.0
Bachelors,2017.0,Pune,2.0,29.0,female,No,2.0,1.0
Bachelors,2014.0,Pune,3.0,30.0,Male,Yes,4.0,0.0
Bachelors,2015.0,Bangalore,3.0,36.0,Male,No,1.0,0.0
Masters,2017.0,New Delhi,2.0,23.0,Male,No,1.0,0.0
BACHELORS,2013.0,Bangalore,3.0,30.0,Male,No,3.0,1.0
Bachelors,2014.0,Bangalore,3.0,36.0,Male,No,,0.0
Bachelors,2015.0,pune,3.0,,Male,No,4.0,0.0
,2014.0,Bangalore,3.0,23.0,Female,No,1.0,
PHD,2012.0,New Delhi,3.0,27.0,Male,No,5.0,0.0
Masters,2013.0,New Delhi,3.0,35.0,Male,No,73.1163750232798,0.0
Masters,2017.0,New Delhi,2.0,34.0,Male,,0.0,0.0
bachelors,,Bangalore,3.0,30.0,Female,No,1.0,0.0
PHD,2017.0,new delhi,3.0,34.0,Male,No,2.0,0.0
Bachelors,2015.0,Pune,2.0,26.0,Female,No,,1.0
,2016.0,Bangalore,3.0,34.0,Female,,0.0,0.0
Bachelors,2014.0,Bangalore,3.0,31.0,Female,Yes,5.0,0.0
